strDrink,strDrinkThumb,idDrink
Champagne Cocktail,https://www.thecocktaildb.com/images/media/drink/t5pv461606773026.jpg,11227
Cherry Electric Lemonade,https://www.thecocktaildb.com/images/media/drink/tquyyt1451299548.jpg,17174
Cherry Rum,https://www.thecocktaildb.com/images/media/drink/twsuvr1441554424.jpg,11239
Chicago Fizz,https://www.thecocktaildb.com/images/media/drink/qwvwqr1441207763.jpg,11242
Chocolate Black Russian,https://www.thecocktaildb.com/images/media/drink/yyvywx1472720879.jpg,11243
Chocolate Milk,https://www.thecocktaildb.com/images/media/drink/j6q35t1504889399.jpg,13328
Citrus Coke,https://www.thecocktaildb.com/images/media/drink/uyrvut1479473214.jpg,17135
City Slicker,https://www.thecocktaildb.com/images/media/drink/dazdlg1504366949.jpg,11251
Classic Old-Fashioned,https://www.thecocktaildb.com/images/media/drink/w8cxqv1582485254.jpg,11145
Clove Cocktail,https://www.thecocktaildb.com/images/media/drink/qxvtst1461867579.jpg,11255
Clover Club,https://www.thecocktaildb.com/images/media/drink/t0aja61504348715.jpg,17186
Coffee Liqueur,https://www.thecocktaildb.com/images/media/drink/ryvtsu1441253851.jpg,12798
Coffee-Vodka,https://www.thecocktaildb.com/images/media/drink/qvrrvu1472667494.jpg,12800
Corn n Oil,https://www.thecocktaildb.com/images/media/drink/pk6dwi1592767243.jpg,17830
Corpse Reviver,https://www.thecocktaildb.com/images/media/drink/gifgao1513704334.jpg,17250
Cosmopolitan,https://www.thecocktaildb.com/images/media/drink/kpsajh1504368362.jpg,17196
Cosmopolitan Martini,https://www.thecocktaildb.com/images/media/drink/upxxpq1439907580.jpg,14133
Cranberry Cordial,https://www.thecocktaildb.com/images/media/drink/qtspsx1472667392.jpg,12802
Cream Soda,https://www.thecocktaildb.com/images/media/drink/yqstxr1479209367.jpg,14608
Creme de Menthe,https://www.thecocktaildb.com/images/media/drink/yxswtp1441253918.jpg,12808
Cuba Libra,https://www.thecocktaildb.com/images/media/drink/ck6d0p1504388696.jpg,13751
Cuba Libre,https://www.thecocktaildb.com/images/media/drink/wmkbfj1606853905.jpg,11288
Daiquiri,https://www.thecocktaildb.com/images/media/drink/mrz9091589574515.jpg,11006
Damned if you do,https://www.thecocktaildb.com/images/media/drink/ql7bmx1503565106.jpg,13194
Danbooka,https://www.thecocktaildb.com/images/media/drink/vurrxr1441246074.jpg,15409
Dark and Stormy,https://www.thecocktaildb.com/images/media/drink/t1tn0s1504374905.jpg,17211
Dark Caipirinha,https://www.thecocktaildb.com/images/media/drink/uwstrx1472406058.jpg,17177
Darkwood Sling,https://www.thecocktaildb.com/images/media/drink/sxxsyq1472719303.jpg,14482
Death in the Afternoon,https://www.thecocktaildb.com/images/media/drink/y7s3rh1598719574.jpg,178334
Derby,https://www.thecocktaildb.com/images/media/drink/52weey1606772672.jpg,17187
Diesel,https://www.thecocktaildb.com/images/media/drink/sxrrqq1454512852.jpg,13128
Dirty Martini,https://www.thecocktaildb.com/images/media/drink/vcyvpq1485083300.jpg,17181
Dirty Nipple,https://www.thecocktaildb.com/images/media/drink/vtyqrt1461866508.jpg,14466
Downshift,https://www.thecocktaildb.com/images/media/drink/y36z8c1503563911.jpg,16991
Dragonfly,https://www.thecocktaildb.com/images/media/drink/uc63bh1582483589.jpg,11320
Dry Martini,https://www.thecocktaildb.com/images/media/drink/6ck9yi1589574317.jpg,11005
Dry Rob Roy,https://www.thecocktaildb.com/images/media/drink/typuyq1439456976.jpg,11324
Dubonnet Cocktail,https://www.thecocktaildb.com/images/media/drink/pfz3hz1582483111.jpg,11326
Duchamp's Punch,https://www.thecocktaildb.com/images/media/drink/g51naw1485084685.jpg,17182
Elderflower Caipirinha,https://www.thecocktaildb.com/images/media/drink/dif7a31614006331.jpg,178346
Empellón Cocina's Fat-Washed Mezcal,https://www.thecocktaildb.com/images/media/drink/osgvxt1513595509.jpg,17246
English Highball,https://www.thecocktaildb.com/images/media/drink/dhvr7d1504519752.jpg,11338
English Rose Cocktail,https://www.thecocktaildb.com/images/media/drink/yxwrpp1441208697.jpg,11339
Espresso Martini,https://www.thecocktaildb.com/images/media/drink/n0sx531504372951.jpg,17212
Espresso Rumtini,https://www.thecocktaildb.com/images/media/drink/acvf171561574403.jpg,178309
Fahrenheit 5000,https://www.thecocktaildb.com/images/media/drink/tysssx1473344692.jpg,13070
Figgy Thyme,https://www.thecocktaildb.com/images/media/drink/pbw4e51606766578.jpg,178344
Flaming Dr. Pepper,https://www.thecocktaildb.com/images/media/drink/d30z931503565384.jpg,13202
Flaming Lamborghini,https://www.thecocktaildb.com/images/media/drink/yywpss1461866587.jpg,16485
Flander's Flake-Out,https://www.thecocktaildb.com/images/media/drink/sqvqrx1461866705.jpg,13675
Flying Dutchman,https://www.thecocktaildb.com/images/media/drink/mwko4q1582482903.jpg,11368
Flying Scotchman,https://www.thecocktaildb.com/images/media/drink/q53l911582482518.jpg,11369
Foxy Lady,https://www.thecocktaildb.com/images/media/drink/r9cz3q1504519844.jpg,11375
Freddy Kruger,https://www.thecocktaildb.com/images/media/drink/tuppuq1461866798.jpg,14688
French 75,https://www.thecocktaildb.com/images/media/drink/hrxfbl1606773109.jpg,17197
French Connection,https://www.thecocktaildb.com/images/media/drink/zaqa381504368758.jpg,17198
French Martini,https://www.thecocktaildb.com/images/media/drink/clth721504373134.jpg,17213
French Negroni,https://www.thecocktaildb.com/images/media/drink/x8lhp41513703167.jpg,17248
Frisco Sour,https://www.thecocktaildb.com/images/media/drink/acuvjz1582482022.jpg,11382
Frosé,https://www.thecocktaildb.com/images/media/drink/b4cadp1619695347.jpg,178352
Frozen Daiquiri,https://www.thecocktaildb.com/images/media/drink/7oyrj91504884412.jpg,11387
Frozen Mint Daiquiri,https://www.thecocktaildb.com/images/media/drink/jrhn1q1504884469.jpg,11390
Frozen Pineapple Daiquiri,https://www.thecocktaildb.com/images/media/drink/k3aecd1582481679.jpg,11391
Funk and Soul,https://www.thecocktaildb.com/images/media/drink/qtv83q1596015790.jpg,178328
Fuzzy Asshole,https://www.thecocktaildb.com/images/media/drink/wrvpuu1472667898.jpg,15743
